Date,Stock_1,Prob_1,Weight_1,Stock_2,Prob_2,Weight_2,Turnover,Gross_Return,Net_Return
2025-01-24,BRK-B,0.6461344691387019,0.5,MSFT,0.6077335157471082,0.5,2.0,-0.02673775965677655,-0.02873775965677655
2025-01-31,AMZN,0.6281677226923076,0.5,JPM,0.5852961463067017,0.5,2.0,-0.0020445331154012036,-0.004044533115401204
2025-02-07,BRK-B,0.644745936023315,0.5,JPM,0.5774534630993959,0.5,1.0,0.008677167913477057,0.007677167913477057
2025-02-14,BRK-B,0.6551533939862505,0.5,JPM,0.5749823457618513,0.5,0.0,-0.023211610281921813,-0.023211610281921813
2025-02-21,META,0.6097398250231276,0.5,JPM,0.6083111906422238,0.5,1.0,-0.010452295844719461,-0.011452295844719462
2025-02-28,META,0.6859629029240191,0.5,JPM,0.5841809552282303,0.5,0.0,-0.07409521292365956,-0.07409521292365956
2025-03-07,META,0.5795871550460614,0.5,V,0.5759429486178189,0.5,1.0,-0.03357687880864818,-0.03457687880864818
2025-03-14,GOOGL,0.5911272042364091,0.5,AAPL,0.5825865303447058,0.5,2.0,0.006662934185186986,0.004662934185186986
2025-03-21,AAPL,0.7168378309906438,0.5,TSLA,0.5790381866716305,0.5,1.0,0.028986333502974915,0.027986333502974914
2025-03-28,AAPL,0.7361072859525144,0.5,TSLA,0.6113992128338672,0.5,0.0,-0.11349729035308465,-0.11349729035308465
2025-04-04,AAPL,0.5832099604694361,0.5,TSLA,0.5830385325711119,0.5,0.0,0.052828803393593526,0.052828803393593526
2025-04-11,TSLA,0.5808176488819884,0.5,BRK-B,0.5791006052581781,0.5,1.0,-0.027308239446019844,-0.028308239446019845
2025-04-18,MSFT,0.6449501042827173,0.5,JNJ,0.5741937960112933,0.5,2.0,0.02354700091531753,0.021547000915317527
2025-04-25,MSFT,0.5913886723605964,0.5,BRK-B,0.58573233289608,0.5,1.0,0.06374115860723006,0.06274115860723006
2025-05-02,BRK-B,0.5893290677724146,0.5,JNJ,0.5797508091163956,0.5,1.0,-0.030223624803585092,-0.031223624803585093
2025-05-09,TSLA,0.5844896542803151,0.5,BRK-B,0.575583488703477,0.5,1.0,0.08725763835490363,0.08625763835490363
2025-05-16,TSLA,0.5709975778833729,0.5,AMZN,0.5658975989886972,0.5,1.0,-0.026388181562947255,-0.027388181562947256
2025-05-23,TSLA,0.6008752639009739,0.5,JNJ,0.575378467798936,0.5,1.0,0.0222622493826502,0.0212622493826502
2025-05-30,TSLA,0.6786673475156071,0.5,JNJ,0.5730685708529826,0.5,0.0,-0.07464320651155792,-0.07464320651155792
2025-06-06,V,0.5816065936467374,0.5,TSLA,0.5607853376668706,0.5,1.0,0.027652292262254352,0.02665229226225435
2025-06-13,META,0.6356689591351317,0.5,AMZN,0.6333063836041258,0.5,2.0,-0.005677662792670679,-0.007677662792670679
2025-06-20,TSLA,0.6436109154047079,0.5,META,0.5847824575269079,0.5,1.0,0.039857519575253963,0.03885751957525396
2025-06-27,TSLA,0.5839211864414977,0.5,MSFT,0.5790226224364339,0.5,1.0,-0.009868623760076467,-0.010868623760076468
2025-07-04,MSFT,0.5804530957235584,0.5,AAPL,0.5797671483888575,0.5,1.0,-0.0011054293667888682,-0.002105429366788868
2025-07-11,GOOGL,0.5830831570153998,0.5,MSFT,0.572132787077408,0.5,1.0,0.02019899528433977,0.01919899528433977
2025-07-18,AMZN,0.5776659515394459,0.5,JPM,0.5754391474252508,0.5,2.0,0.024358227177132208,0.022358227177132206
2025-07-25,AAPL,0.5846378154283332,0.5,JPM,0.5813638967996404,0.5,1.0,-0.04237209160437472,-0.04337209160437472
2025-08-01,GOOGL,0.5793095294048822,0.5,MSFT,0.5749212401795198,0.5,2.0,0.030516104503012176,0.028516104503012174
2025-08-08,AAPL,0.5818210453515814,0.5,GOOGL,0.5804530957235584,0.5,1.0,0.01161255527798477,0.01061255527798477
2025-08-15,AAPL,0.5881408492138421,0.5,GOOGL,0.5808358708431756,0.5,0.0,-0.0028985959824627816,-0.0028985959824627816
2025-08-22,AAPL,0.604581170447658,0.5,JPM,0.5733352706476811,0.5,1.0,0.018358388465104625,0.017358388465104624
2025-08-29,AAPL,0.6172975690161224,0.5,TSLA,0.5884798804333246,0.5,1.0,0.04167580752857425,0.04067580752857425
2025-09-05,TSLA,0.5754391474252508,0.5,META,0.5739128059869574,0.5,1.0,0.06636083312997232,0.06536083312997232
